,CUSTOMER_CODE,CUSTOMER_GROUP,ITEM_CODE,Model,MaterialName,DIAMETER1,DIAMETER2,THICKNESS,LENGTH,ColorName,ProcessName,SurfaceName,INV_DV,HideInCUS030
345,C07029,HONDA,|0200226010|31.80|0.00|2.600|0.000,,STAM390G,31.8,0.0,2.6,5350.0,NBC,Piping(Pre-End),"Pickled and Oiled,Hot rolled steel",,False
346,C07011,HONDA,|0200230742|25.00|55.00|1.600|0.000,K56R/K2PF/K2PA,HSST590C,25.0,55.0,1.6,552.0,IBC,Grind Face,Cold  Rolled Steel ,,False
347,C07032,HONDA,|0200262901|25.40|0.00|1.200|0.000,K2ZA/K3AA,SUS409L,25.4,0.0,1.2,330.0,IBC,Brushing,Cold  Rolled Steel ,,False
348,C07295,OTHER,|0200226240|28.60|0.00|1.600|0.000,,STKMHT590,28.6,0.0,1.6,80.0,NBC,Brushing,"Pickled and Oiled,Hot rolled steel",,False
349,C07295,OTHER,|0200226010|31.80|0.00|1.400|0.000,,STAM390G,31.8,0.0,1.4,895.0,NBC,Brushing,"Pickled and Oiled,Hot rolled steel",,False
350,C07032,HONDA,|0200262901|22.20|0.00|1.200|0.000,K2ZA/K3AA,SUS409L,22.2,0.0,1.2,338.0,IBC,Brushing,Cold  Rolled Steel ,,False
351,C07011,HONDA,|0200226010|31.80|0.00|1.600|0.000,,STAM390G,31.8,0.0,1.6,5900.0,IBC,Piping(Pre-End),"Pickled and Oiled,Hot rolled steel",,False
354,C07005,YAMAHA,|0200230120|35.00|0.00|1.200|0.000,,STKM11A,35.0,0.0,1.2,5800.0,NBC,Piping(Pre-End),Cold  Rolled Steel ,,False
355,C07038,TTVN,|0200220810|25.40|0.00|1.600|0.000,,STKM13A,25.4,0.0,1.6,740.0,NBC,Brushing,"Pickled and Oiled,Hot rolled steel",,False
356,C07002,YAMAHA,|0200226240|25.40|0.00|2.300|0.000,,STKMHT590,25.4,0.0,2.3,696.0,NBC,Brushing,"Pickled and Oiled,Hot rolled steel",,False
357,C07001,HONDA,|0200226010|25.40|0.00|3.200|0.000,K1NA/K1NF,STAM390G,25.4,0.0,3.2,5100.0,IBC,Piping(Pre-End),"Pickled and Oiled,Hot rolled steel",,False
358,C07001,VINFAST,|0200226010|32.00|32.00|2.300|0.000,,STAM390G,32.0,32.0,2.3,5500.0,IBC,As Cut,"Pickled and Oiled,Hot rolled steel",,False
359,C07002,YAMAHA,|0200226240|35.00|0.00|2.600|0.000,,STKMHT590,35.0,0.0,2.6,765.0,NBC,Brushing,"Pickled and Oiled,Hot rolled steel",,False
361,C07029,HONDA,|0200236041|22.20|0.00|1.200|0.000,,STAM390G,22.2,0.0,1.2,5480.0,NBC,Piping(Pre-End),Cold  Rolled Steel ,,False
363,C07005,YAMAHA,|0200220139|22.20|0.00|1.600|0.000,,STKM11A,22.2,0.0,1.6,6000.0,IBC,Piping(Pre-End),"Pickled and Oiled,Hot rolled steel",,False
365,C07295,OTHER,|0200226240|28.60|0.00|1.600|0.000,,STKMHT590,28.6,0.0,1.6,5903.0,NBC,Piping(Pre-End),"Pickled and Oiled,Hot rolled steel",,False
366,C07032,HONDA,|0200262901|22.20|0.00|1.200|0.000,,SUS409L,22.2,0.0,1.2,510.0,IBC,Brushing,Cold  Rolled Steel ,,False
368,C07011,VINFAST,|0200226010|19.10|0.00|2.000|0.000,,STAM390G,19.1,0.0,2.0,5700.0,NBC,Piping(Pre-End),"Pickled and Oiled,Hot rolled steel",,False
371,C07038,TTVN,|0200226640|25.40|0.00|2.300|0.000,,STKM17AM,25.4,0.0,2.3,972.0,NBC,Brushing,"Pickled and Oiled,Hot rolled steel",,False
372,C07002,YAMAHA,|0200226240|28.60|0.00|2.300|0.000,,STKMHT590,28.6,0.0,2.3,296.0,NBC,Brushing,"Pickled and Oiled,Hot rolled steel",,False
374,C07038,TTVN,|0200230841|19.10|0.00|1.200|0.000,,STKM13A,19.1,0.0,1.2,520.0,NBC,Brushing,Cold  Rolled Steel ,,False
375,C07002,YAMAHA,|0200226240|28.60|0.00|2.300|0.000,,STKMHT590,28.6,0.0,2.3,268.0,NBC,Brushing,"Pickled and Oiled,Hot rolled steel",,False
376,C07001,HONDA,|0200226010|42.70|0.00|1.600|0.000,,STAM390G,42.7,0.0,1.6,840.0,IBC,Brushing,"Pickled and Oiled,Hot rolled steel",,False
377,C07031,HONDA,|0200226010|19.10|0.00|2.000|0.000,,STAM390G,19.1,0.0,2.0,5900.0,NBC,Piping(Pre-End),"Pickled and Oiled,Hot rolled steel",,False
378,C07029,HONDA,|0200236041|28.60|0.00|1.200|0.000,,STAM390G,28.6,0.0,1.2,5070.0,NBC,Piping(Pre-End),Cold  Rolled Steel ,,False
379,C07011,VINFAST,|0200226010|28.60|0.00|2.000|0.000,,STAM390G,28.6,0.0,2.0,5500.0,IBC,Piping(Pre-End),"Pickled and Oiled,Hot rolled steel",,False
381,C07032,HONDA,|0200226010|22.20|0.00|2.000|0.000,,STAM390G,22.2,0.0,2.0,741.0,IBC,Chamfer,"Pickled and Oiled,Hot rolled steel",,False
382,C07005,YAMAHA,|0200220139|22.20|0.00|2.300|0.000,,STKM11A,22.2,0.0,2.3,726.0,NBC,Chamfer,"Pickled and Oiled,Hot rolled steel",,False
383,C07011,HONDA,|0200226010|31.80|0.00|1.600|0.000,K2ZA/K3AA,STAM390G,31.8,0.0,1.6,5750.0,IBC,Piping(Pre-End),"Pickled and Oiled,Hot rolled steel",,False
384,C07029,HONDA,|0200230742|22.20|0.00|1.400|0.000,,HSST590C,22.2,0.0,1.4,5350.0,NBC,Piping(Pre-End),Cold  Rolled Steel ,,False
385,C07031,HONDA,|0200226010|25.40|0.00|1.400|0.000,,STAM390G,25.4,0.0,1.4,6100.0,NBC,Piping(Pre-End),"Pickled and Oiled,Hot rolled steel",,False
386,C07038,TTVN,|0200230841|25.40|0.00|1.200|0.000,,STKM13A,25.4,0.0,1.2,150.0,NBC,Brushing,Cold  Rolled Steel ,,False
387,C07001,HONDA,|0200226010|42.70|0.00|2.000|0.000,,STAM390G,42.7,0.0,2.0,748.5,IBC,Brushing,"Pickled and Oiled,Hot rolled steel",,False
388,C07002,YAMAHA,|0200226240|25.40|0.00|2.300|0.000,,STKMHT590,25.4,0.0,2.3,401.0,NBC,Brushing,"Pickled and Oiled,Hot rolled steel",,False
389,C07038,TTVN,|0200230841|25.40|0.00|1.200|0.000,,STKM13A,25.4,0.0,1.2,680.0,NBC,Brushing,Cold  Rolled Steel ,,False
390,C07002,YAMAHA,|0200226240|19.10|0.00|2.000|0.000,,STKMHT590,19.1,0.0,2.0,634.0,NBC,Brushing,"Pickled and Oiled,Hot rolled steel",,False
391,C07001,HONDA,|0200226010|42.70|0.00|2.000|0.000,,STAM390G,42.7,0.0,2.0,860.0,IBC,Brushing,"Pickled and Oiled,Hot rolled steel",,False
394,C07011,VINFAST,|0200226010|15.90|0.00|1.600|0.000,,STAM390G,15.9,0.0,1.6,5670.0,NBC,Piping(Pre-End),"Pickled and Oiled,Hot rolled steel",,False
395,C07005,YAMAHA,|0200226240|22.20|0.00|2.000|0.000,,STKMHT590,22.2,0.0,2.0,5800.0,NBC,Piping(Pre-End),"Pickled and Oiled,Hot rolled steel",,False
399,C07038,TTVN,|0200230841|25.40|0.00|1.200|0.000,,STKM13A,25.4,0.0,1.2,742.0,NBC,Brushing,Cold  Rolled Steel ,,False
400,C07002,YAMAHA,|0200226240|25.40|0.00|1.600|0.000,,STKMHT590,25.4,0.0,1.6,410.0,IBC,Brushing,"Pickled and Oiled,Hot rolled steel",,False
401,C07001,HONDA,|0200226010|48.60|0.00|3.500|0.000,,STAM390G,48.6,0.0,3.5,5400.0,IBC,Piping(Pre-End),"Pickled and Oiled,Hot rolled steel",,False
402,C07011,HONDA,|0200226010|32.00|32.00|2.300|0.000,,STAM390G,32.0,32.0,2.3,5500.0,IBC,As Cut,"Pickled and Oiled,Hot rolled steel",,False
405,C07038,TTVN,|0200230841|25.40|0.00|1.200|0.000,,STKM13A,25.4,0.0,1.2,1097.0,NBC,Brushing,Cold  Rolled Steel ,,False
406,C07002,YAMAHA,|0200226240|25.40|0.00|1.600|0.000,,STKMHT590,25.4,0.0,1.6,266.0,NBC,Brushing,"Pickled and Oiled,Hot rolled steel",,False
407,C07031,HONDA,|0200226010|54.00|0.00|2.600|0.000,,STAM390G,54.0,0.0,2.6,4900.0,IBC,Piping(Pre-End),"Pickled and Oiled,Hot rolled steel",,False
412,C07038,TTVN,|0200230841|28.60|0.00|1.200|0.000,,STKM13A,28.6,0.0,1.2,1298.0,NBC,Brushing,Cold  Rolled Steel ,,False
413,C07002,YAMAHA,|0200226240|19.10|0.00|2.000|0.000,,STKMHT590,19.1,0.0,2.0,276.0,NBC,Brushing,"Pickled and Oiled,Hot rolled steel",,False
415,C07005,YAMAHA,|0200226240|22.20|0.00|2.300|0.000,,STKMHT590,22.2,0.0,2.3,6253.0,NBC,Piping(Pre-End),"Pickled and Oiled,Hot rolled steel",,False
416,C07011,HONDA,|0200226010|31.80|0.00|1.600|0.000,,STAM390G,31.8,0.0,1.6,5820.0,IBC,Piping(Pre-End),"Pickled and Oiled,Hot rolled steel",,False
417,C07011,HONDA,|0200226010|25.40|0.00|1.600|0.000,,STAM390G,25.4,0.0,1.6,5100.0,IBC,Piping(Pre-End),"Pickled and Oiled,Hot rolled steel",,False
418,C07005,YAMAHA,|0200220139|31.80|0.00|2.000|0.000,,STKM11A,31.8,0.0,2.0,6475.0,NBC,Piping(Pre-End),"Pickled and Oiled,Hot rolled steel",,False
419,C07001,HONDA,|0200226010|54.00|0.00|2.600|0.000,,STAM390G,54.0,0.0,2.6,5600.0,NBC,Piping(Pre-End),"Pickled and Oiled,Hot rolled steel",,False
420,C07038,TTVN,|0200236643|28.60|0.00|1.200|0.000,,STKM17AM,28.6,0.0,1.2,1505.0,NBC,Brushing,Cold  Rolled Steel ,,False
421,C07002,YAMAHA,|0200226240|31.80|0.00|2.000|0.000,,STKMHT590,31.8,0.0,2.0,303.0,NBC,Brushing,"Pickled and Oiled,Hot rolled steel",,False
423,C07029,HONDA,|0200226010|19.10|0.00|1.400|0.000,,STAM390G,19.1,0.0,1.4,5100.0,NBC,Piping(Pre-End),"Pickled and Oiled,Hot rolled steel",,False
424,C07031,HONDA,|0200226010|42.70|0.00|1.400|0.000,K2TA,STAM390G,42.7,0.0,1.4,810.0,IBC,Brushing,"Pickled and Oiled,Hot rolled steel",,False
425,C07031,HONDA,|0200226010|42.70|0.00|1.600|0.000,K2TA,STAM390G,42.7,0.0,1.6,810.0,IBC,Brushing,"Pickled and Oiled,Hot rolled steel",,False
426,C07029,HONDA,|0200226010|42.70|0.00|2.300|0.000,K2TA,STAM390G,42.7,0.0,2.3,6100.0,NBC,Piping(Pre-End),"Pickled and Oiled,Hot rolled steel",,False
427,C07038,TTVN,|0200220139|25.40|0.00|1.800|0.000,,STKM11A,25.4,0.0,1.8,463.4,NBC,Brushing,"Pickled and Oiled,Hot rolled steel",,False
429,C07002,YAMAHA,|0200226240|22.20|0.00|1.600|0.000,,STKMHT590,22.2,0.0,1.6,348.0,NBC,Brushing,"Pickled and Oiled,Hot rolled steel",,False
430,C07001,HONDA,|0200226010|54.00|0.00|3.200|0.000,,STAM390G,54.0,0.0,3.2,203.0,NBC,As Cut,"Pickled and Oiled,Hot rolled steel",,False
431,C07011,HONDA,|0200226010|48.60|0.00|3.500|0.000,,STAM390G,48.6,0.0,3.5,5750.0,IBC,Piping(Pre-End),"Pickled and Oiled,Hot rolled steel",,False
432,C07005,YAMAHA,|0200220139|17.30|0.00|2.300|0.000,,STKM11A,17.3,0.0,2.3,5500.0,NBC,Piping(Pre-End),"Pickled and Oiled,Hot rolled steel",,False
433,C07005,YAMAHA,|0200220139|25.40|0.00|2.000|0.000,,STKM11A,25.4,0.0,2.0,5500.0,NBC,Piping(Pre-End),"Pickled and Oiled,Hot rolled steel",,False
