CUSTOMER_CODE,ITEM_CODE,GROUP_CODE,GROUP_NAME,DIAMETER1,DIAMETER2,THICKNESS,LENGTH,BeatCut,TotalLast_StockOut,TotalStockOut,HisStockOut,StockOut,TotalCurrentStock,TotalPln,PlnQty,future_Stock,ikey
,|0101021700|0.00|0.00|0.000|935.000,17,MP38,0.0,0.0,0.0,0.0,NBC,,,,,48140.0,,,48140.0,17xMP38x0x0x0x0
,|0101021700|0.00|0.00|0.000|945.000,17,MP38,0.0,0.0,0.0,0.0,NBC,,,,,304620.0,,,304620.0,17xMP38x0x0x0x0
,|0101021700|0.00|0.00|0.000|97.000,17,MP38,0.0,0.0,0.0,0.0,NBC,,,,,3462.0,,,3462.0,17xMP38x0x0x0x0
,|0101021700|0.00|0.00|0.000|98.500,17,MP38,0.0,0.0,0.0,0.0,NBC,,,,,4593.0,,,4593.0,17xMP38x0x0x0x0
,|0101021700|0.00|0.00|0.000|980.000,17,MP38,0.0,0.0,0.0,0.0,NBC,,,,,15330.0,,,15330.0,17xMP38x0x0x0x0
,|0101021700|0.00|0.00|0.000|99.000,17,MP38,0.0,0.0,0.0,0.0,NBC,,,,,0.0,,,0.0,17xMP38x0x0x0x0
,"|0101021900|0.00|0.00|0.000|1,025.000",19,MP-1D,0.0,0.0,0.0,0.0,NBC,,,,,105920.0,,,105920.0,19xMP-1Dx0x0x0x0
,|0101021900|0.00|0.00|0.000|127.000,19,MP-1D,0.0,0.0,0.0,0.0,NBC,,,,,7227.0,,,7227.0,19xMP-1Dx0x0x0x0
,"|0101022000|0.00|0.00|0.000|1,050.000",20,MP-1M,0.0,0.0,0.0,0.0,NBC,,,,,61890.0,,,61890.0,20xMP-1Mx0x0x0x0
,|0101022000|0.00|0.00|0.000|115.000,20,MP-1M,0.0,0.0,0.0,0.0,NBC,,,,,0.0,,,0.0,20xMP-1Mx0x0x0x0
,|0101022000|0.00|0.00|0.000|115.500,20,MP-1M,0.0,0.0,0.0,0.0,NBC,,,,,5151.0,,,5151.0,20xMP-1Mx0x0x0x0
,|0101022000|0.00|0.00|0.000|116.000,20,MP-1M,0.0,0.0,0.0,0.0,NBC,,,,,3451.0,,,3451.0,20xMP-1Mx0x0x0x0
,|0101022000|0.00|0.00|0.000|117.000,20,MP-1M,0.0,0.0,0.0,0.0,NBC,,,,,10926.0,,,10926.0,20xMP-1Mx0x0x0x0
,|0101022000|0.00|0.00|0.000|146.500,20,MP-1M,0.0,0.0,0.0,0.0,NBC,,,,,2812.0,,,2812.0,20xMP-1Mx0x0x0x0
,|0101022000|0.00|0.00|0.000|147.000,20,MP-1M,0.0,0.0,0.0,0.0,NBC,,,,,2722.0,,,2722.0,20xMP-1Mx0x0x0x0
,|0101022000|0.00|0.00|0.000|156.000,20,MP-1M,0.0,0.0,0.0,0.0,NBC,,,,,2342.0,,,2342.0,20xMP-1Mx0x0x0x0
,|0101022000|0.00|0.00|0.000|47.000,20,MP-1M,0.0,0.0,0.0,0.0,NBC,,,,,1847.0,,,1847.0,20xMP-1Mx0x0x0x0
,|0101022000|0.00|0.00|0.000|48.500,20,MP-1M,0.0,0.0,0.0,0.0,NBC,,,,,2153.0,,,2153.0,20xMP-1Mx0x0x0x0
,|0101022000|0.00|0.00|0.000|55.500,20,MP-1M,0.0,0.0,0.0,0.0,NBC,,,,,790.0,,,790.0,20xMP-1Mx0x0x0x0
,|0101022000|0.00|0.00|0.000|56.500,20,MP-1M,0.0,0.0,0.0,0.0,NBC,,,,,14983.0,,,14983.0,20xMP-1Mx0x0x0x0
,|0101022000|0.00|0.00|0.000|66.000,20,MP-1M,0.0,0.0,0.0,0.0,NBC,,,,,1087.0,,,1087.0,20xMP-1Mx0x0x0x0
,|0101022000|0.00|0.00|0.000|67.000,20,MP-1M,0.0,0.0,0.0,0.0,NBC,,,,,4702.0,,,4702.0,20xMP-1Mx0x0x0x0
,|0101022000|0.00|0.00|0.000|67.500,20,MP-1M,0.0,0.0,0.0,0.0,NBC,,,,,2801.0,,,2801.0,20xMP-1Mx0x0x0x0
,|0101022000|0.00|0.00|0.000|730.000,20,MP-1M,0.0,0.0,0.0,0.0,NBC,,,,,8604.0,,,8604.0,20xMP-1Mx0x0x0x0
,|0101022000|0.00|0.00|0.000|75.500,20,MP-1M,0.0,0.0,0.0,0.0,NBC,,,,,2898.0,,,2898.0,20xMP-1Mx0x0x0x0
,|0101022000|0.00|0.00|0.000|77.000,20,MP-1M,0.0,0.0,0.0,0.0,NBC,,,,,1492.0,,,1492.0,20xMP-1Mx0x0x0x0
,|0101022000|0.00|0.00|0.000|78.000,20,MP-1M,0.0,0.0,0.0,0.0,NBC,,,,,2450.0,,,2450.0,20xMP-1Mx0x0x0x0
,|0101022000|0.00|0.00|0.000|87.000,20,MP-1M,0.0,0.0,0.0,0.0,NBC,,,,,3120.0,,,3120.0,20xMP-1Mx0x0x0x0
,|0101022000|0.00|0.00|0.000|925.000,20,MP-1M,0.0,0.0,0.0,0.0,NBC,,,,,18140.0,,,18140.0,20xMP-1Mx0x0x0x0
,|0101022000|0.00|0.00|0.000|940.000,20,MP-1M,0.0,0.0,0.0,0.0,NBC,,,,,116090.0,,,116090.0,20xMP-1Mx0x0x0x0
,|0101022000|0.00|0.00|0.000|945.000,20,MP-1M,0.0,0.0,0.0,0.0,NBC,,,,,170690.0,,,170690.0,20xMP-1Mx0x0x0x0
,|0101022000|0.00|0.00|0.000|965.000,20,MP-1M,0.0,0.0,0.0,0.0,NBC,,,,,16570.0,,,16570.0,20xMP-1Mx0x0x0x0
,|0101022000|0.00|0.00|0.000|97.000,20,MP-1M,0.0,0.0,0.0,0.0,NBC,,,,,1381.0,,,1381.0,20xMP-1Mx0x0x0x0
,|0101022500|0.00|0.00|0.000|105.000,25,JFE-HA540R,0.0,0.0,0.0,0.0,NBC,,,,,3496.0,,,3496.0,25xJFE-HA540Rx0x0x0x0
,|0101022500|0.00|0.00|0.000|129.000,25,JFE-HA540R,0.0,0.0,0.0,0.0,NBC,,,,,4854.0,,,4854.0,25xJFE-HA540Rx0x0x0x0
,|0101022500|0.00|0.00|0.000|57.000,25,JFE-HA540R,0.0,0.0,0.0,0.0,NBC,,,,,2670.0,,,2670.0,25xJFE-HA540Rx0x0x0x0
,|0101022500|0.00|0.00|0.000|58.000,25,JFE-HA540R,0.0,0.0,0.0,0.0,NBC,,,,,694.0,,,694.0,25xJFE-HA540Rx0x0x0x0
