ID,ItemNo,CUSTOMER_CODE,CUSTOMER_GROUP,ITEM_CODE,DLV_PLACE,Model,PartNo,PartName,MaterialCode,MaterialName,SURFACE_CODE,COLOR_CODE,LENGTH,PROCESSING_CODE,SpecialReq,Commodity,SymbolItem,QualityInf,Other,Rate,HideInCUS030,ReqForDLV,ModifyDate,QRCodeInfo1,QRCodeCus,ApplyDate_QRCode,INV_DV,LockItem,INPUT_DATE,INPUT_PERSON,MODIFY_DATE,MODIFY_PERSON,DIAMETER1,DIAMETER2,THICKNESS,SurfaceName,ColorName,ProcessName,Size,QUANTITY,TOLERANCE,isUsed
623,1,C07049,VINFAST,|0200226010|22.20|0.00|2.000|0.000,LAM SON,,,,60,STAM390G,03,00,6370.0,08,,,E-G,,,0.0,False,,2021-04-15 00:00:00,E8||,,,,False,2021-04-15 15:39:21,id02,2022-09-20 10:45:55,id02,22.2,0.0,2.0,"Pickled and Oiled,Hot rolled steel",NBC,Piping(Pre-End),22.2 x 2.0,169.0,-0.0 mm*+15 mm,0
625,1,C07050,VINFAST,|0200220139|28.60|0.00|2.000|0.000,VINFAST,VK2021,,,01,STKM11A,03,00,150.0,05,,,E-G,,,0.0,True,,2021-04-15 00:00:00,,,,,False,2021-04-15 16:05:29,id02,2023-10-17 11:59:09,id02,28.6,0.0,2.0,"Pickled and Oiled,Hot rolled steel",NBC,Brushing,28.6 x 2.0,0.0,,0
655,1,C07053,,|0200226339|50.00|30.00|1.600|0.000,,,,,63,STKMRR290,03,00,6350.0,04,,,E-G,,,0.0,False,,2021-05-19 00:00:00,E8||,,,,False,2021-05-19 16:01:44,id12,2022-11-24 09:36:29,id02,50.0,30.0,1.6,"Pickled and Oiled,Hot rolled steel",NBC,As Cut,50 x 30 x 1.6,80.0,-0.0 mm*+15 mm,0
684,1,C07037,,|0200230120|15.90|0.00|1.200|0.000,EMTC,,,,01,STKM11A,01,00,5591.0,08,,,E-G,,,0.0,True,,2021-08-18 00:00:00,,,,,False,2021-08-18 13:15:16,id02,2023-05-11 10:04:51,id02,15.9,0.0,1.2,Cold  Rolled Steel ,NBC,Piping(Pre-End),15.9 x 1.2,331.0,+0.0 mm*+15.0 mm,0
801,1,C07057,,|0200226010|22.20|0.00|1.600|0.000,,,,,60,STAM390G,03,01,5900.0,08,,,,,,0.0,False,,2023-02-21 10:27:25,E8||,,,*,False,2023-02-21 10:27:25,id02,2023-02-21 10:27:25,id02,22.2,0.0,1.6,"Pickled and Oiled,Hot rolled steel",IBC,Piping(Pre-End),22.2 x 1.6,169.0,-0.0 mm*+15.0 mm,0
849,1,C07056,HONDA,|0200225939|19.10|0.00|2.300|0.000,NGUYEN LINH,,,,59,STAM290GA,03,00,6000.0,08,,,E-G,,,0.0,False,,2023-08-02 00:00:00,E8||,,,,False,2023-08-02 08:01:12,id02,2023-09-22 13:35:10,id02,19.1,0.0,2.3,"Pickled and Oiled,Hot rolled steel",NBC,Piping(Pre-End),19.1 x 2.3,169.0,-0.0 mm*+15.0 mm,0
831,1,C07060,OTHER,|0200220139|22.20|0.00|2.000|0.000,DNA,,,,01,STKM11A,03,00,5723.0,08,,,,,,0.0,False,,2023-06-05 09:14:54,E8||,,,*,False,2023-06-05 09:14:54,id02,2023-06-05 09:14:54,id02,22.2,0.0,2.0,"Pickled and Oiled,Hot rolled steel",NBC,Piping(Pre-End),22.2 x 2.0,271.0,-0.0 mm*+15.0 mm,0
877,1,C07058,OTHER,|0200226010|25.40|0.00|2.000|0.000,GREDMANN,YEDEAR,,,60,STAM390G,03,00,6372.0,08,,,E-G,,,0.0,False,,2023-08-30 08:21:05,E8||,,,,False,2023-08-30 08:21:05,id02,2023-08-30 08:21:05,id02,25.4,0.0,2.0,"Pickled and Oiled,Hot rolled steel",NBC,Piping(Pre-End),25.4 x 2.0,0.0,,0
876,2,C07056,OTHER,|0200226010|25.40|0.00|1.600|0.000,NGUYEN LINH,YEADER,,,60,STAM390G,03,00,5763.0,08,,,E-G,,,0.0,False,,2023-08-29 00:00:00,E8||,,,,False,2023-08-29 15:59:13,id02,2023-09-22 13:35:10,id02,25.4,0.0,1.6,"Pickled and Oiled,Hot rolled steel",NBC,Piping(Pre-End),25.4 x 1.6,169.0,-0.0 mm*+15.0 mm,0
832,2,C07060,OTHER,|0200220810|48.60|0.00|3.200|0.000,DNA,,,,08,STKM13A,03,00,5667.0,08,,,,,,0.0,False,,2023-06-05 09:14:54,E8||,,,*,False,2023-06-05 09:14:54,id02,2023-06-05 09:14:54,id02,48.6,0.0,3.2,"Pickled and Oiled,Hot rolled steel",NBC,Piping(Pre-End),48.6 x 3.2,91.0,+0.0 mm*+15 mm,0
