ParentItemCode,ParentThickness2,ParentLength,ChildItemCode,ChildThickness2,ChildLength,ParentQty,ProcessCode,Main_Material
|0101022500|0.00|0.00|0.000|105.500,2.6,0.0,|0101022500|0.00|0.00|0.000|850.000,2.5,0.0,1.0,PS,1
|0101031000|0.00|0.00|0.000|59.000,1.2,0.0,|0101031000|0.00|0.00|0.000|950.000,1.15,0.0,1.0,PS,1
|0101031200|0.00|0.00|0.000|156.000,1.6,0.0,|0101031200|0.00|0.00|0.000|945.000,1.5,0.0,1.0,PS,1
|0101100900|0.00|0.00|0.000|70.000,1.0,0.0,"|0101100900|0.00|0.00|0.000|1,040.000",1.0,0.0,1.0,PS,1
|0200220139|38.10|0.00|2.300|0.000,0.0,308.0,|0200220139|38.10|0.00|2.300|0.000,0.0,5959.0,19.0,CT,
|0200220139|38.10|0.00|2.300|0.000,0.0,308.0,|0200220139|38.10|0.00|2.300|0.000,0.0,5959.0,19.0,CM,
|0200230742|25.00|55.00|1.600|0.000,0.0,566.5,|0200230742|25.00|55.00|1.600|0.000,0.0,5768.0,10.0,CM,
|0200230742|25.00|55.00|1.600|0.000,0.0,567.5,|0200230742|25.00|55.00|1.600|0.000,0.0,5768.0,10.0,CM,
|0200220810|45.00|0.00|2.000|0.000,0.0,5500.0,|0101021700|0.00|0.00|0.000|139.000,2.0,0.0,1.0,CO,
|0200230841|28.60|0.00|1.200|0.000,0.0,618.1,|0200230841|28.60|0.00|1.200|0.000,0.0,5634.0,9.0,CM,
|0200230841|28.60|0.00|1.200|0.000,0.0,407.3,|0200230841|28.60|0.00|1.200|0.000,0.0,5784.0,14.0,CM,
|0200230841|28.60|0.00|1.200|0.000,0.0,1298.0,|0200230841|28.60|0.00|1.200|0.000,0.0,5253.0,4.0,CM,
|0200220126|42.70|0.00|3.500|0.000,0.0,195.0,|0200220126|42.70|0.00|3.500|0.000,0.0,196.5,1.0,TO,
|0200226240|25.40|0.00|2.300|0.000,0.0,286.0,|0200226240|25.40|0.00|2.300|0.000,0.0,5831.0,20.0,CT,
|0200226010|54.00|0.00|2.600|0.000,0.0,4900.0,|0101021700|0.00|0.00|0.000|166.000,2.6,0.0,1.0,CO,
|0200220810|21.70|0.00|1.900|0.000,0.0,6000.0,|0101021700|0.00|0.00|0.000|66.000,1.9,0.0,1.0,CO,
|0101021700|0.00|0.00|0.000|66.000,1.9,0.0,|0101021700|0.00|0.00|0.000|930.000,1.75,0.0,1.0,PS,1
|0200220139|38.10|0.00|2.000|0.000,0.0,5879.0,|0101022000|0.00|0.00|0.000|117.000,2.0,0.0,1.0,CO,
|0101022000|0.00|0.00|0.000|117.000,2.0,0.0,|0101022000|0.00|0.00|0.000|945.000,1.95,0.0,1.0,PS,1
|0200226117|19.10|0.00|2.000|0.000,0.0,5771.0,|0101021400|0.00|0.00|0.000|57.000,2.0,0.0,1.0,CO,
|0200220810|48.60|0.00|2.300|0.000,0.0,1148.0,|0200220810|48.60|0.00|2.300|0.000,0.0,5793.0,5.0,CM,
|0200220810|48.60|0.00|2.300|0.000,0.0,5793.0,|0101021700|0.00|0.00|0.000|148.000,2.3,0.0,1.0,CO,
|0200220810|38.10|0.00|2.300|0.000,0.0,6053.0,|0101021700|0.00|0.00|0.000|116.000,2.3,0.0,1.0,CO,
|0200220810|38.10|0.00|2.300|0.000,0.0,6213.0,|0101021700|0.00|0.00|0.000|116.000,2.3,0.0,1.0,CO,
|0200220139|76.30|0.00|2.000|0.000,0.0,6149.0,|0101022000|0.00|0.00|0.000|237.500,2.0,0.0,1.0,CO,
|0200220139|31.80|0.00|2.000|0.000,0.0,5995.0,|0101022000|0.00|0.00|0.000|97.000,2.0,0.0,1.0,CO,
|0101030100|0.00|0.00|0.000|69.000,1.2,0.0,"|0101030100|0.00|0.00|0.000|1,050.000",1.15,0.0,1.0,PS,1
|0101030100|0.00|0.00|0.000|79.000,1.2,0.0,"|0101030100|0.00|0.00|0.000|1,050.000",1.15,0.0,1.0,PS,1
|0101030100|0.00|0.00|0.000|89.000,1.2,0.0,"|0101030100|0.00|0.00|0.000|1,050.000",1.15,0.0,1.0,PS,1
|0101030100|0.00|0.00|0.000|119.000,1.2,0.0,"|0101030100|0.00|0.00|0.000|1,050.000",1.15,0.0,1.0,PS,1
|0200230119|45.00|0.00|1.200|0.000,0.0,5600.0,|0101030100|0.00|0.00|0.000|141.000,1.2,0.0,1.0,CO,
|0200226010|19.10|0.00|1.600|0.000,0.0,5860.0,|0101021700|0.00|0.00|0.000|58.000,1.6,0.0,1.0,CO,
|0200220126|42.70|0.00|3.500|0.000,0.0,6046.0,|0101021900|0.00|0.00|0.000|127.000,3.5,0.0,1.0,CO,
|0200226010|38.10|0.00|2.000|0.000,0.0,5508.0,|0101021700|0.00|0.00|0.000|117.000,2.0,0.0,1.0,CO,
|0101021700|0.00|0.00|0.000|117.000,2.0,0.0,|0101021700|0.00|0.00|0.000|945.000,1.95,0.0,1.0,PS,1
|0200220139|60.50|0.00|2.000|0.000,0.0,5129.0,|0101022000|0.00|0.00|0.000|188.000,2.0,0.0,1.0,CO,
|0101021700|0.00|0.00|0.000|139.000,2.0,0.0,|0101021700|0.00|0.00|0.000|945.000,1.95,0.0,1.0,PS,1
|0101030100|0.00|0.00|0.000|59.000,1.2,0.0,"|0101030100|0.00|0.00|0.000|1,050.000",1.15,0.0,1.0,PS,1
|0101021700|0.00|0.00|0.000|148.000,2.3,0.0,"|0101021700|0.00|0.00|0.000|1,120.000",2.2,0.0,1.0,PS,1
|0200220810|19.10|0.00|2.300|0.000,0.0,6017.0,|0101021700|0.00|0.00|0.000|56.500,2.3,0.0,1.0,CO,
|0101022000|0.00|0.00|0.000|85.500,2.3,0.0,"|0101022000|0.00|0.00|0.000|1,050.000",2.2,0.0,1.0,PS,1
|0200220139|28.60|0.00|2.600|0.000,0.0,5506.0,|0101022000|0.00|0.00|0.000|85.000,2.6,0.0,1.0,CO,
|0200220139|34.00|0.00|3.500|0.000,0.0,5616.0,|0101021900|0.00|0.00|0.000|101.500,3.5,0.0,1.0,CO,
|0101021900|0.00|0.00|0.000|101.500,3.5,0.0,"|0101021900|0.00|0.00|0.000|1,025.000",3.4,0.0,1.0,PS,1
|0200226117|19.10|0.00|2.000|0.000,0.0,570.0,|0200226117|19.10|0.00|2.000|0.000,0.0,5771.0,10.0,CM,
|0200220126|42.70|0.00|3.500|0.000,0.0,196.5,|0200220126|42.70|0.00|3.500|0.000,0.0,6046.0,30.0,CT,
|0200226240|25.40|0.00|2.300|0.000,0.0,5831.0,|0101022500|0.00|0.00|0.000|76.500,2.3,0.0,1.0,CO,
|0101022500|0.00|0.00|0.000|66.000,2.3,0.0,|0101022500|0.00|0.00|0.000|960.000,2.2,0.0,1.0,PS,1
|0200230841|25.40|0.00|1.200|0.000,0.0,5995.0,|0101031000|0.00|0.00|0.000|79.000,1.2,0.0,1.0,CO,
|0200230841|19.10|0.00|1.200|0.000,0.0,1575.0,|0200230841|19.10|0.00|1.200|0.000,0.0,4900.0,3.0,CM,
|0200220810|21.70|0.00|1.600|0.000,0.0,6000.0,|0101021700|0.00|0.00|0.000|66.500,1.6,0.0,1.0,CO,
|0200220139|25.40|0.00|3.200|0.000,0.0,46.0,|0200220139|25.40|0.00|3.200|0.000,0.0,5561.0,110.0,CT,
|0200220139|25.40|0.00|3.200|0.000,0.0,44.5,|0200220139|25.40|0.00|3.200|0.000,0.0,46.0,1.0,TO,
|0200226240|28.60|0.00|2.300|0.000,0.0,6127.0,|0101022500|0.00|0.00|0.000|85.500,2.3,0.0,1.0,CO,
|0200226240|28.60|0.00|2.300|0.000,0.0,505.0,|0200226240|28.60|0.00|2.300|0.000,0.0,6127.0,12.0,CM,
|0200226240|28.60|0.00|2.300|0.000,0.0,354.0,|0200226240|28.60|0.00|2.300|0.000,0.0,6127.0,17.0,CM,
|0200226240|28.60|0.00|2.300|0.000,0.0,383.0,|0200226240|28.60|0.00|2.300|0.000,0.0,5875.0,15.0,CM,
|0200226240|28.60|0.00|2.300|0.000,0.0,280.0,|0200226240|28.60|0.00|2.300|0.000,0.0,5731.0,20.0,CT,
